Ticker,Company,Sector
ULVR,Unilever plc,Consumer Staples
DGE,Diageo plc,Consumer Staples
TSCO,Tesco plc,Consumer Staples
BATS,British American Tobacco plc,Consumer Staples
GSK,GSK plc,Healthcare
AZN,AstraZeneca plc,Healthcare
HSBA,HSBC Holdings plc,Financials
LLOY,Lloyds Banking Group plc,Financials
LGEN,Legal & General Group plc,Financials
AV.,Aviva plc,Financials
NG.,National Grid plc,Utilities
SVT,Severn Trent plc,Utilities
RIO,Rio Tinto plc,Mining
AAL,Anglo American plc,Mining
SHEL,Shell plc,Energy
BP.,BP plc,Energy
