,ULVR,DGE,TSCO,BATS,GSK,AZN,HSBA,LLOY,LGEN,AV.,NG.,SVT,RIO,AAL,SHEL,BP.
1999-12-31,-0.005459,-0.123239,0.110619,-0.10836499999999999,-0.068158,-0.082202,0.06609,-0.034891,-0.023188,0.05,-0.011022,-0.195929,0.215447,0.11156100000000001,,-0.024295
2000-01-31,-0.169045,-0.08132500000000001,-0.132802,-0.22459099999999999,-0.09371399999999999,-0.115265,-0.161645,-0.19625599999999999,-0.12908,-0.179449,-0.097665,-0.05934999999999999,-0.22675599999999999,-0.153827,,-0.126104
2000-02-29,0.019155,0.05683099999999999,0.050536000000000005,-0.044913,-0.042874999999999996,-0.09419000000000001,0.01935,-0.033607,0.052811000000000004,-0.07697,0.15529400000000002,-0.08815899999999999,-0.188581,-0.170304,,-0.097883
2000-03-31,0.041478,-0.007527000000000001,0.21720099999999998,0.42639499999999997,0.18247699999999997,0.250469,0.02379,0.135506,0.053398,0.192471,0.16700600000000002,0.07109,0.149171,0.008307,,0.17640999999999998
2000-04-30,-0.021063000000000002,0.10297200000000001,0.064845,0.124547,0.103621,0.059078,-0.040486,-0.05136,0.045949,0.049714,-0.07940699999999999,0.15309699999999998,-0.05463199999999999,-0.050738000000000005,,-0.03313
2000-05-31,0.14536,0.101059,-0.077626,0.007083000000000001,-0.045936000000000005,0.047973,0.037975,0.152866,0.002985,0.106151,-0.007897999999999999,-0.068304,-0.00804,0.098816,,0.103269
2000-06-30,-0.093484,0.036713,0.017327,0.127877,0.019577,0.094748,0.023713,-0.138122,-0.080357,0.082677,0.01165,0.18698499999999998,0.09422499999999999,0.0677,,0.041906
2000-07-31,-0.0025,-0.011803999999999999,0.07056,-0.092971,-0.002595,-0.067747,0.19589700000000002,-0.044871999999999995,0.11003199999999999,-0.046364,0.051822999999999994,-0.128383,-0.007407,0.001577,,-0.078864
2000-08-31,0.081454,0.003413,-0.014773000000000001,0.130939,0.030697000000000002,0.09179399999999999,0.10874299999999999,0.104045,0.03207,0.010486,0.029197,0.11664,0.036827,0.222362,,0.08576700000000001
2000-09-30,0.015064,0.028061,0.153582,-0.013544,0.033821,0.134219,-0.029262999999999997,-0.026234999999999998,-0.065497,-0.081562,0.029255,0.088889,-0.10737000000000001,-0.063844,,-0.045202
2000-10-31,0.064498,0.098143,0.057344,0.10526300000000001,-0.03125,-0.089165,0.020790000000000003,0.11252000000000001,0.045732,-0.039583,0.029285000000000002,0.0,0.136595,0.046771,,-0.02907
2000-11-30,0.262459,0.125288,0.077069,0.037267,0.036794,0.14699199999999998,-0.053971,-0.041311,0.046647,0.155098,0.047807,0.024489999999999998,-0.053812,-0.027926000000000003,,-0.055763
2000-12-31,-0.018836,0.02459,-0.036219,0.017464999999999998,-0.08118600000000001,-0.0625,0.06027999999999999,0.052006,0.027854999999999998,0.015962,-0.018548,-0.011952,0.116588,0.009576,,-0.015497
2001-01-31,-0.099476,-0.123333,-0.11640700000000001,-0.032859,-0.050265000000000004,-0.119407,0.08020300000000001,-0.011298999999999998,-0.09078599999999999,-0.073937,0.025472,-0.05914,0.011885,0.125474,,0.089815
2001-02-28,0.001938,0.068441,0.08921200000000001,0.12930999999999998,0.061281,0.070582,-0.134398,-0.032429,0.034277,0.002994,-0.060897,0.035938,0.069631,0.085962,,-0.020138
2001-03-31,-0.018375,0.019201,-0.04381,-0.034227,-0.033596,0.067005,-0.06164,0.054116,-0.066282,-0.011606,-0.071672,-0.020451,-0.020253,-0.091123,,0.015707
2001-04-30,0.058562,0.039604,0.00966,0.092486,0.003259,-0.031548,0.09123200000000001,0.05061499999999999,0.037159,0.000516,-0.016544,-0.006479,0.155918,0.10648400000000001,,0.07732
2001-05-31,0.016097999999999998,0.034014,-0.004,-0.047618999999999995,0.040256,0.021819,-0.046688,-0.036476,-0.066768,-0.047423,0.069305,0.033333,-0.007768000000000001,0.025017,,-0.002091
2001-06-30,0.11649599999999999,0.026316000000000003,0.03012,0.0,0.046025,-0.003609,-0.040433000000000004,0.016429,0.048780000000000004,0.063853,-0.069272,0.084417,-0.101779,-0.06332499999999999,,-0.060289
2001-07-31,0.0,-0.075641,-0.021442000000000003,0.042593,0.013500000000000002,0.051615,-0.035608,0.012648999999999999,0.04186,0.007121,-0.09351100000000001,-0.006711,-0.064976,-0.126761,,-0.001711
2001-08-31,-0.018364000000000002,-0.036061,0.037849,0.064632,-0.094153,-0.040502,0.0028020000000000002,0.00013,0.0,0.029293,-0.012632,0.02027,0.063427,0.075269,,0.008131000000000001
2001-09-30,-0.121599,0.047922,-0.010576,0.020374,0.050328,-0.048693,-0.105985,-0.085151,-0.109076,-0.161112,-0.083156,-0.03245,-0.137097,-0.171109,,-0.038494
2001-10-31,-0.032914,-0.039188,-0.052733999999999996,-0.001664,-0.031771,-0.020221,0.050907,0.067692,0.02027,-0.017272,0.134884,-0.023272,0.042991,0.075795,,-0.012456
2001-11-30,0.14410299999999998,0.09249800000000001,-0.008246999999999999,-0.058333,-0.048649,0.010964,0.121433,0.040346,0.023178999999999998,0.012726999999999999,-0.07942300000000001,-0.037141,0.17831499999999997,0.18863600000000003,,-0.059059
2001-12-31,-0.004413,0.04666699999999999,0.035343,0.030973,-0.021023,-0.011802,-0.046154,0.033241,0.029126,0.01137,-0.03386,0.073425,0.0007599999999999999,-0.0047799999999999995,,0.029893999999999997
2002-01-31,0.009752,0.049682000000000004,-0.057229,0.064378,-0.019733,0.049063999999999997,-0.016129,0.014745,-0.007862000000000001,-0.022484999999999998,0.049065000000000004,0.009736,0.056231,0.119116,,0.026217
2002-02-28,0.028973,0.019417,0.073482,0.046773999999999996,0.027762,0.110779,-0.025851000000000002,-0.07202700000000001,-0.049128,-0.131356,0.02951,0.010331,0.023022,0.030901,,0.070751
2002-03-31,-0.040956,0.1048,-0.043651,0.077959,-0.040603,-0.024888,0.077685,0.060294,0.076667,0.066538,0.002163,0.006135000000000001,-0.0052710000000000005,-0.005842000000000001,,0.072961
2002-04-30,0.117438,-0.007625,0.107909,0.04,0.003628,-0.078004,-0.002463,0.09431300000000001,-0.005488,-0.047233,0.062062,0.061653,-0.081412,-0.075214,,-0.0632
2002-05-31,0.015538000000000001,-0.055982000000000004,-0.019011,0.16666699999999998,-0.149567,-0.065008,0.049382999999999996,-0.062104,-0.038155999999999995,-0.094901,0.01626,-0.006382,0.021176,0.14602600000000002,,0.0059370000000000004
2002-06-30,-0.047771,-0.009302,-0.075581,-0.13919399999999998,0.009972,-0.09647399999999999,-0.11235300000000001,-0.117568,-0.135537,-0.174491,-0.049943999999999995,-0.034956999999999995,-0.076037,-0.120161,,-0.058120000000000005
2002-07-31,-0.059364999999999994,-0.08920199999999999,-0.08280900000000001,0.019858,-0.117066,-0.156848,-0.025844999999999996,-0.020674,-0.10707499999999999,-0.194313,-0.052039,-0.139696,-0.085619,-0.265811,,-0.098004
2002-08-31,0.047111,0.007732,-0.033143,0.060083000000000004,-0.021722,-0.198249,0.018439,-0.10863899999999999,0.051392,0.174118,0.022071,0.079582,0.049578,0.031211000000000003,,0.014831
2002-09-30,-0.020374,0.0274,-0.018045,-0.135819,0.011513,0.058178,-0.124405,-0.160107,-0.21973299999999998,-0.266008,0.0,-0.112435,-0.098765,-0.013425,,-0.15084899999999998
2002-10-31,0.094454,-0.08681900000000001,-0.036452,0.007704,-0.000765,0.237033,0.10558999999999999,0.171459,0.28323699999999996,0.370629,0.007752,0.107383,0.130137,0.016149,,-0.035294
2002-11-30,-0.085883,-0.070784,0.02396,-0.11315,-0.013934,0.025577000000000003,0.070927,-0.013635999999999999,0.036036,0.11938800000000001,-0.052198,-0.059091,0.127273,0.106357,,0.030602
2002-12-31,0.032313999999999996,0.008215,-0.044335000000000006,0.069828,-0.009144,-0.09239599999999999,-0.099672,-0.17788,-0.165217,-0.19234300000000001,0.075923,0.14647500000000002,-0.047618999999999995,0.019337,,0.020311
2003-01-31,-0.104907,-0.08,-0.146907,-0.073328,-0.040268,-0.074324,-0.080845,-0.150224,-0.216146,-0.113431,-0.13034,-0.008646000000000001,-0.103226,-0.099729,,-0.10538600000000001
2003-02-28,0.069943,0.014493,-0.021147999999999997,0.078261,-0.013332,0.010255,0.083994,-0.00365,-0.006645,0.007638000000000001,0.027708,0.023256000000000002,0.15557600000000002,0.10535800000000001,,0.057058
2003-03-31,0.035336,0.046688,0.10030900000000001,-0.0072050000000000005,-0.002688,0.053223,-0.022381,-0.090395,-0.07023399999999999,-0.079021,-0.050245,0.017044999999999998,-0.06829299999999999,0.005215999999999999,,0.003125
2003-04-30,0.049488000000000004,0.069337,0.135916,0.01437,0.126685,0.138155,0.05624,0.27795000000000003,0.163917,0.25,0.060645,-0.0013969999999999998,0.014419,-0.003337,,-0.011838
2003-05-31,-0.09843199999999999,-0.056196,0.031566000000000004,0.0925,-0.032548,0.007332,0.051787,0.087485,0.112903,0.011364,-0.01579,0.046154,0.0,0.054688,,0.064442
2003-06-30,-0.113051,-0.012214000000000001,0.07343899999999999,0.048818,0.014938,-0.017388,-0.006935,-0.038547,-0.026087,-0.054494,0.041825,-0.048569,-0.046823,-0.021164000000000002,,0.005383
2003-07-31,0.058031,-0.017774,-0.018244,-0.077818,-0.018044,0.021810999999999997,0.075419,0.122603,0.199405,0.22638100000000003,-0.060827,-0.016813,0.131579,0.168649,,0.013682000000000001
2003-08-31,0.007835,0.06687599999999999,0.0034839999999999997,0.026297,0.012584,-0.015085,0.07577300000000001,-0.119406,-0.012407,-0.028100999999999998,0.0032379999999999996,-0.048327,0.093862,0.102803,,0.016413999999999998
2003-09-30,-0.000972,-0.019436,0.125314,0.011737,0.034796999999999995,0.046091,-0.023985,-0.0030120000000000004,-0.058011,-0.052164999999999996,-0.0045190000000000004,0.049219,-0.077642,-0.08583500000000001,,-0.037296
2003-10-31,-0.022374,0.06697499999999999,-0.019710000000000002,0.102088,0.017672,0.08890599999999999,0.115312,-0.010875999999999999,0.127371,0.035332,-0.023995000000000002,0.054356,0.113796,0.115634,,-0.009685000000000001
2003-11-30,0.017198,0.046176,0.052910000000000006,0.023860000000000003,0.038827,-0.046604,0.0034189999999999997,0.004275999999999999,-0.043269,-0.04239899999999999,0.06539500000000001,0.02048,-0.027992,0.015754999999999998,,0.0012790000000000002
2003-12-31,0.031187999999999997,0.013793,0.036181,0.055517000000000004,-0.023645999999999997,0.015536000000000001,-0.003405,0.09002399999999999,0.007538,0.058855000000000005,0.018448,0.061422,0.110871,-0.014694,,0.116451
2004-01-31,0.016323,-0.020408,-0.074685,-0.006494,-0.078125,-0.029104,-0.036446,0.026785999999999997,-0.012469,0.045385,-0.020612,-0.058077,-0.053791000000000005,0.034796999999999995,,-0.054636
2004-02-29,0.06282499999999999,0.034722,0.079665,0.07450999999999999,-0.037931,-0.008186,0.03487,-0.026629999999999997,0.010101,0.100488,0.09949,0.050319,-0.013014,0.07526,,0.019443
2004-03-31,-0.042667000000000004,-0.034672,-0.045631000000000005,0.028975,-0.047279,-0.011364,-0.061345000000000004,-0.024729,-0.0192,-0.036101999999999995,-0.00232,0.026991,-0.055967,-0.018515999999999998,,0.053726
2004-04-30,-0.012071,0.066996,0.031328999999999996,0.044593999999999995,0.092697,0.045183999999999995,-0.0012360000000000001,0.019347,-0.013193,0.043560999999999996,-0.005233,0.028908999999999997,-0.07824099999999999,-0.12490399999999999,,0.069079
2004-05-31,-0.0026850000000000003,-0.042961,0.001005,-0.064327,-0.014766,-0.036405,0.010375,0.022538999999999997,-0.048128000000000004,-0.033575,0.01052,0.031928,0.062247000000000004,0.00793,,-0.012315
2004-06-30,0.043394,0.026934,0.06927699999999999,0.068125,-0.021053000000000002,-0.026368,0.013597,0.0017399999999999998,0.067416,0.068545,0.011765000000000001,0.021306,0.009132,-0.013986,,0.019362
2004-07-31,-0.10258800000000001,-0.083389,-0.044131000000000004,-0.02165,0.000896,-0.005254999999999999,-0.015244,-0.045165,0.021053000000000002,-0.015817,0.022914,0.001256,0.080694,0.035461,,0.059548
2004-08-31,-0.019567,0.0029349999999999997,0.045187,0.017013,0.021671999999999997,0.045250000000000005,0.078012,0.038378999999999996,0.025773,-0.034451,0.06548,0.08657500000000001,-0.025236,0.08346,,-0.037604
2004-09-30,-0.055147,0.034472,0.08087300000000001,-0.043582,0.05305,-0.113503,0.016222,0.034772,0.013309999999999999,0.031073,0.005391,0.013857,0.077592,0.055777,,0.070523
2004-10-31,0.020567000000000002,0.055797,0.006135000000000001,0.023719999999999998,-0.036944,-0.014570000000000001,0.0028510000000000002,-0.001159,-0.002519,-0.004566,0.01555,0.042711,-0.041722999999999996,-0.098868,,0.0
2004-11-30,0.057687999999999996,0.004804,0.050523,0.071951,-0.032059000000000004,-0.083781,0.020898,-0.022622,0.073232,0.063303,0.011088,-0.028399999999999998,0.076545,0.063652,,0.019762
2004-12-31,0.06785000000000001,0.015026999999999999,0.067164,0.021046999999999996,0.1099,-0.076284,-0.013468,0.122849,0.035294,0.083693,0.054512,0.10805400000000001,0.0,-0.029921000000000003,,-0.048689
2005-01-31,-0.014662999999999999,-0.026244999999999997,-0.041958,0.025070000000000002,-0.038462,0.053467,-0.000569,0.049154,0.045454999999999995,0.011146,0.040827,-0.046536,0.076321,0.0,,0.029528
2005-02-28,-0.012401,0.023497,-0.009732,0.038043,0.068036,0.047041000000000006,-0.011952,-0.013098,0.026087,0.020472,-0.02276,-0.010304,0.127197,0.05276,,0.083325
2005-03-31,0.050728,0.022942,0.036855,0.007605,-0.024135,0.017561,-0.019464,0.024371,-0.011016999999999999,0.0037119999999999996,-0.028246000000000004,0.0027400000000000002,-0.067575,-0.012482,,-0.024021
2005-04-30,-0.049713,0.037534,-0.010537000000000001,0.048232,0.081616,0.09348000000000001,-0.001792,-0.063808,-0.07947,-0.072441,0.049975,0.059016,-0.075979,-0.07490000000000001,,-0.026436
2005-05-31,0.10517599999999999,0.021318,0.016234,0.067485,0.044391,0.023674,0.048051,0.012291000000000002,0.040767,0.04584,0.044196,0.04386,0.032258,0.13006,,0.040386
2005-06-30,0.0037280000000000004,0.041113,0.018371,0.030651,-0.006618000000000001,-0.010278,0.025346,0.04415,0.059908,0.00974,0.035135,0.035962999999999995,0.046569,-0.002287,,0.054446
2005-07-31,0.022284,-0.044957000000000004,0.021176,0.056691000000000005,-0.007402,0.10688,0.037079,0.019027000000000002,-0.004348,0.051447,-0.031423,-0.038348,0.11007,0.100076,,0.083477
2005-08-31,0.012716,0.007633999999999999,0.002304,-0.006416,0.005988,-0.002857,-0.024245000000000003,-0.032586,-0.028384,-0.048643,0.002551,-0.005112,0.044287,-0.015687,0.045245,0.011836
2005-09-30,0.061883,0.052134,-0.043661000000000005,0.067204,0.076923,0.041502,0.026876,0.024123000000000002,0.035255,0.016327,0.014313,0.018499,0.183257,0.20542100000000002,0.035912,0.065665
2005-10-31,-0.032095,0.024540000000000003,-0.028271,0.043661000000000005,0.018724,-0.03871,-0.03108,-0.010707,-0.055066,0.071486,-0.028222,-0.034309,-0.070751,-0.011834,-0.066133,-0.073497
2005-11-30,0.0005870000000000001,0.0,0.007481,0.013677,-0.020571000000000002,0.053296,0.051166,0.018398,0.09090899999999999,0.029235,0.057502000000000004,0.049112,0.086351,0.087425,0.029165,0.024227
2005-12-31,0.017652,0.008982,0.094059,0.031745999999999996,0.027992,0.060345,0.007559,0.038257,0.042735,0.026948,0.06063399999999999,0.099611,0.13461499999999998,0.08975799999999999,-0.008399,-0.023659
2006-01-31,0.025152,-0.007122000000000001,-0.040724,-0.025385,-0.021103,-0.037823,0.001072,0.042989,0.026639,0.021986,0.012313000000000001,0.057196,0.079849,0.09146000000000001,0.080181,0.092084
2006-02-28,-0.005921999999999999,0.047221,0.062893,0.072612,0.015165999999999999,-0.012574,0.042827000000000004,0.08685000000000001,0.03992,0.095073,0.042572,0.006981,-0.03751,-0.015278,-0.094576,-0.060476999999999996
2006-03-31,0.002553,0.048657000000000006,-0.023669,0.049559,0.040802,0.100569,0.008978,0.038907,0.090211,0.035706,-0.045833000000000006,-0.032062,0.09029899999999999,0.071447,0.047175,0.049206
2006-04-30,-0.011035999999999999,-0.001655,-0.031818,0.005738999999999999,0.033887,0.044828,-0.018135,-0.030881,0.00046199999999999995,0.0018759999999999998,0.00524,0.03581,0.032170000000000004,0.052750000000000005,0.043382,0.023449
2006-05-31,-0.052992,-0.030939,0.022327,-0.045648999999999995,-0.042049,-0.067987,-0.010735,-0.056232,-0.075812,-0.073658,0.053866,-0.026793,-0.017573000000000002,-0.077516,-0.055233,-0.06893500000000001
2006-06-30,0.017573000000000002,0.037058,0.042122,0.017937,0.020946,0.155807,0.023669,0.055610999999999994,0.001953,0.031671,-0.009867,0.068344,-0.0351,0.029712000000000002,0.036446,0.0088
